Lp;Kolczyk;Nazwa;Pobranie próbki;Wynik
91;PL005452069599;MERIDA;2026-07-02;Cielna
92;PL005452069636;TAMA;2025-08-11;Niecielna
93;PL005452069636;TAMA;2025-09-11;Powtórz
94;PL005452069636;TAMA;2025-12-04;Cielna
95;PL005452069636;TAMA;2026-03-02;Cielna
96;PL005452069643;BRYDZIA;2025-08-11;Niecielna
97;PL005452069643;BRYDZIA;2025-12-04;Cielna
98;PL005452069742;KLUSKA;2026-07-02;Niecielna
99;PL005452069797;FAJNA;2026-05-06;Cielna
100;PL005452069797;FAJNA;2026-07-02;Cielna
101;PL005452069803;MAKITA;2026-07-02;Niecielna
102;PL005491367304;TAMIZA;2025-08-11;Cielna
103;PL005491367304;TAMIZA;2026-07-02;Niecielna
104;PL005491367311;ZAJDA;2025-08-11;Cielna
105;PL005491367311;ZAJDA;2026-05-06;Niecielna
106;PL005491367311;ZAJDA;2026-07-02;Niecielna
107;PL005491367571;TERESA;2025-08-11;Powtórz
108;PL005491367571;TERESA;2025-12-04;Cielna
109;PL005491367571;TERESA;2026-07-02;Niecielna
110;PL005491367588;TERESKA-1;2026-05-06;Cielna
111;PL005491367588;TERESKA-1;2026-07-02;Cielna
112;PL005491367670;DAMA-1;2026-07-02;Cielna
113;PL005563092059;SETKA;2026-07-02;Niecielna
114;PL005563092073;ZUZANKA;2026-07-02;Niecielna
Analizy – wyniki testów PAG;;;;
użytkownik: Stecyk Dariusz  utworzono: 2026-07-27 21:02:11;;;;
